Z;Symbol;a0;a1;a2(x10);a3(x100);C
64;Gd;4.61010;-1.55750;2.73190;-1.84040;0.9995
65;Tb;4.52550;-1.45520;2.43770;-1.57950;0.9995
66;Dy;4.45230;-1.36440;2.17540;-1.34550;0.9990
67;Ho;4.37660;-1.27460;1.92540;-1.13090;0.9990
68;Er;4.29460;-1.18170;1.67060;-0.91467;0.9990
69;Tm;4.21330;-1.09060;1.42390;-0.70804;0.9990
70;Yb;4.13430;-1.00310;1.18810;-0.51120;0.9990
71;Lu;4.04230;-0.90518;0.92889;-0.29820;0.9990
72;Hf;3.95160;-0.80978;0.68951;-0.09620;0.9990
73;Ta;3.85000;-0.70599;0.41103;0.11842;0.9990
74;W;3.76510;-0.61807;0.18568;0.29787;0.9990
75;Re;3.67600;-0.52688;-0.04706;0.48180;0.9995
76;Os;3.60530;-0.45420;-0.22529;0.61700;0.9995
77;Ir;3.53130;-0.37856;-0.41174;0.75967;0.9995
78;Pt;3.47070;-0.31534;-0.56487;0.87492;0.9995
79;Au;3.41630;-0.25987;-0.69030;0.96224;0.9995
80;Hg;3.37350;-0.21428;-0.79013;1.02850;1.0000
81;Tl;3.34590;-0.18322;-0.84911;1.05970;1.0000
82;Pb;3.32330;-0.15596;-0.89878;1.08380;1.0000
83;Bi;3.31880;-0.14554;-0.90198;1.06850;1.0000
84;Po;3.32030;-0.13999;-0.89333;1.04380;1.0000
85;At;3.34250;-0.15317;-0.83350;0.97641;1.0000
86;Rn;3.37780;-0.17800;-0.74320;0.88510;1.0000
87;Fr;3.41990;-0.20823;-0.64000;0.78354;0.9995
88;Ra;3.47530;-0.25005;-0.50660;0.65836;0.9995
89;Ac;3.49020;-0.25109;-0.49651;0.64340;0.9995
90;Th;3.61060;-0.35409;-0.18926;0.36849;0.9995
91;Pa;3.68630;-0.41329;-0.01192;0.20878;0.9995
92;U;3.76650;-0.47542;0.16850;0.05060;0.9990
93;Np;3.82870;-0.51955;0.29804;-0.06566;0.9990
94;Pu;3.88970;-0.56296;0.42597;-0.18080;0.9990
95;Am;3.95060;-0.60554;0.54967;-0.29112;0.9985
96;Cm;4.01470;-0.65062;0.67922;-0.40588;0.9985
97;Bk;4.07780;-0.69476;0.80547;-0.51729;0.9985
98;Cf;4.14210;-0.73977;0.93342;-0.62981;0.9980
